"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"31",1170,193,11260,28,"11260_6_12_17_18_28","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",49,-9999,-9999,49,100,-9999,-9999,"IV-A",230,0,169,0.901961,0,0.662745,43,0
"32",1172,8,11350,28,"11350_15_28","Inter-Mountain Basins Semi-Desert Grassland","Grassland",77,37,-9999,25,33,67,-9999,"I-C",185,174,211,0.72549,0.682353,0.827451,2,0
"33",1176,3,11460,28,"11460_15_16_23_24_25_28","Southern Rocky Mountain Montane-Subalpine Grassland","Grassland",20,-9999,21,10,52,-9999,48,"I-B",167,205,178,0.654902,0.803922,0.698039,1,0
"34",1177,419,11530,28,"11530_28","Inter-Mountain Basins Greasewood Flat","Shrubland",204,-9999,-9999,204,100,-9999,-9999,"V-A",225,225,225,0.882353,0.882353,0.882353,93,0
"35",1178,3152,11590,28,"11590_28","Rocky Mountain Montane Riparian Systems","Riparian",270,-9999,79,61,23,-9999,77,"III-A",123,124,93,0.482353,0.486275,0.364706,701,0
"36",1470,1220,10010,27,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",255,255,190,1,1,0.745098,271,0
"37",1471,2367,10070,27,"10070","Western Great Plains Sparsely Vegetated Systems","Sparse",-9999,-9999,-9999,-9999,-9999,-9999,-9999,"-9999",255,235,190,1,0.921569,0.745098,526,0
"38",1472,761,10110,27,"10110_27","Rocky Mountain Aspen Forest and Woodland","Hardwood",146,1719,839,116,79,7,14,"IV-B",255,255,115,1,1,0.45098,169,0
"39",1473,148,10120,27,"10120_16_27","Rocky Mountain Bigtooth Maple Ravine Woodland","Hardwood",136,82,-9999,51,38,62,-9999,"III-A",255,211,127,1,0.827451,0.498039,33,0
"40",1475,981,10510,27,"10510_27","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",279,57,33,19,7,34,59,"I-C",190,210,255,0.745098,0.823529,1,218,0
"41",1476,213,10520,27,"10520_27","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Conifer",253,98,77,37,15,37,48,"III-A",115,149,230,0.45098,0.584314,0.901961,47,0
"42",1481,28,10610,27,"10610_22_27_28","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Hardwood-Conifer",78,73,126,29,37,40,23,"I-C",230,230,0,0.901961,0.901961,0,6,0
"43",1482,2159,10640,27,"10640_15_16_17_23_24_27_28","Colorado Plateau Mixed Low Sagebrush Shrubland","Shrubland",239,119,-9999,79,33,67,-9999,"III-A",158,170,215,0.619608,0.666667,0.843137,480,0
"44",1490,22,11171,27,"11171_27","Southern Rocky Mountain Ponderosa Pine Savanna-South","Conifer",521,-9999,12,12,2,-9999,98,"I-B",255,85,0,1,0.333333,0,5,0
"45",1493,7169,11210,27,"11210_27","Apacherian-Chihuahuan Semi-Desert Grassland and Steppe","Grassland",13,-9999,-9999,13,100,-9999,-9999,"II-B",255,221,216,1,0.866667,0.847059,1594,0
"46",1495,2406,11460,27,"11460_27","Southern Rocky Mountain Montane-Subalpine Grassland","Grassland",23,-9999,-9999,23,100,-9999,-9999,"II-C",167,205,178,0.654902,0.803922,0.698039,535,0
"47",1498,11018,11530,27,"11530_16_23_24_25_27","Inter-Mountain Basins Greasewood Flat","Shrubland",208,-9999,-9999,208,100,-9999,-9999,"V-A",225,225,225,0.882353,0.882353,0.882353,2450,0
"48",1501,76,14950,27,"14950_27_33","Western Great Plains Depressional Wetland Systems","Riparian",15,-9999,-9999,15,100,-9999,-9999,"II-B",104,0,156,0.407843,0,0.611765,17,0
"49",1502,263,15030,27,"15030_25_27","Chihuahuan Loamy Plains Desert Grassland","Grassland",15,-9999,-9999,15,100,-9999,-9999,"II-B",199,215,158,0.780392,0.843137,0.619608,58,0
"50",1503,213,15040,27,"15040_25_27","Chihuahuan-Sonoran Desert Bottomland and Swale Grassland","Grassland",10,-9999,-9999,10,100,-9999,-9999,"II-B",166,179,130,0.65098,0.701961,0.509804,47,0
