"","model_label","model_code","ref_label","ref_percent","bps_name","current_percent"
"54","10510_28_D","10510_28","D",36,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",0
"55","10510_28_E","10510_28","E",28,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",0
"56","10510_28_Agriculture","10510_28","Agriculture",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",0
"57","10510_28_Developed","10510_28","Developed",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",0
"58","10510_28_Water","10510_28","Water",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",0
"59","10510_28_UN","10510_28","UN",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",0
"60","10510_28_UE","10510_28","UE",0,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",0
"61","10520_27_A","10520_27","A",11,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",93
"62","10520_27_B","10520_27","B",25,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",3
"63","10520_27_C","10520_27","C",29,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",2
"64","10520_27_D","10520_27","D",24,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"65","10520_27_E","10520_27","E",11,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"66","10520_27_Agriculture","10520_27","Agriculture",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"67","10520_27_Developed","10520_27","Developed",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"68","10520_27_Water","10520_27","Water",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"69","10520_27_UN","10520_27","UN",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"70","10520_27_UE","10520_27","UE",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"71","10520_28_A","10520_28","A",8,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"72","10520_28_B","10520_28","B",38,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",100
"73","10520_28_C","10520_28","C",25,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"74","10520_28_D","10520_28","D",14,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"75","10520_28_E","10520_28","E",15,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"76","10520_28_Agriculture","10520_28","Agriculture",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"77","10520_28_Developed","10520_28","Developed",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"78","10520_28_Water","10520_28","Water",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"79","10520_28_UN","10520_28","UN",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"80","10520_28_UE","10520_28","UE",0,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",0
"81","10540_28_A","10540_28","A",10,"Southern Rocky Mountain Ponderosa Pine Woodland",49
"82","10540_28_B","10540_28","B",15,"Southern Rocky Mountain Ponderosa Pine Woodland",16
"83","10540_28_C","10540_28","C",22,"Southern Rocky Mountain Ponderosa Pine Woodland",33
"84","10540_28_D","10540_28","D",35,"Southern Rocky Mountain Ponderosa Pine Woodland",0
"85","10540_28_E","10540_28","E",18,"Southern Rocky Mountain Ponderosa Pine Woodland",0
"86","10540_28_Agriculture","10540_28","Agriculture",0,"Southern Rocky Mountain Ponderosa Pine Woodland",0
"87","10540_28_Developed","10540_28","Developed",0,"Southern Rocky Mountain Ponderosa Pine Woodland",0
"88","10540_28_Water","10540_28","Water",0,"Southern Rocky Mountain Ponderosa Pine Woodland",0
"89","10540_28_UN","10540_28","UN",0,"Southern Rocky Mountain Ponderosa Pine Woodland",0
"90","10540_28_UE","10540_28","UE",0,"Southern Rocky Mountain Ponderosa Pine Woodland",0
"91","10541_27_A","10541_27","A",11,"Southern Rocky Mountain Ponderosa Pine Woodland - South",29
"92","10541_27_B","10541_27","B",3,"Southern Rocky Mountain Ponderosa Pine Woodland - South",14
"93","10541_27_C","10541_27","C",10,"Southern Rocky Mountain Ponderosa Pine Woodland - South",53
"94","10541_27_D","10541_27","D",73,"Southern Rocky Mountain Ponderosa Pine Woodland - South",0
"95","10541_27_E","10541_27","E",3,"Southern Rocky Mountain Ponderosa Pine Woodland - South",0
"96","10541_27_Agriculture","10541_27","Agriculture",0,"Southern Rocky Mountain Ponderosa Pine Woodland - South",0
"97","10541_27_Developed","10541_27","Developed",0,"Southern Rocky Mountain Ponderosa Pine Woodland - South",0
"98","10541_27_Water","10541_27","Water",0,"Southern Rocky Mountain Ponderosa Pine Woodland - South",0
"99","10541_27_UN","10541_27","UN",0,"Southern Rocky Mountain Ponderosa Pine Woodland - South",0
"100","10541_27_UE","10541_27","UE",0,"Southern Rocky Mountain Ponderosa Pine Woodland - South",0
"101","10590_24_28_A","10590_24_28","A",10,"Southern Rocky Mountain Pinyon-Juniper Woodland",60
"102","10590_24_28_B","10590_24_28","B",4,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"103","10590_24_28_C","10590_24_28","C",19,"Southern Rocky Mountain Pinyon-Juniper Woodland",36
"104","10590_24_28_D","10590_24_28","D",67,"Southern Rocky Mountain Pinyon-Juniper Woodland",1
"105","10590_24_28_E","10590_24_28","E",NA,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"106","10590_24_28_Agriculture","10590_24_28","Agriculture",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"107","10590_24_28_Developed","10590_24_28","Developed",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",1
"108","10590_24_28_Water","10590_24_28","Water",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"109","10590_24_28_UN","10590_24_28","UN",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"110","10590_24_28_UE","10590_24_28","UE",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"111","10590_27_33_A","10590_27_33","A",12,"Southern Rocky Mountain Pinyon-Juniper Woodland",16
"112","10590_27_33_B","10590_27_33","B",22,"Southern Rocky Mountain Pinyon-Juniper Woodland",40
"113","10590_27_33_C","10590_27_33","C",44,"Southern Rocky Mountain Pinyon-Juniper Woodland",36
"114","10590_27_33_D","10590_27_33","D",22,"Southern Rocky Mountain Pinyon-Juniper Woodland",4
"115","10590_27_33_E","10590_27_33","E",NA,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"116","10590_27_33_Agriculture","10590_27_33","Agriculture",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"117","10590_27_33_Developed","10590_27_33","Developed",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"118","10590_27_33_Water","10590_27_33","Water",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"119","10590_27_33_UN","10590_27_33","UN",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",0
"120","10590_27_33_UE","10590_27_33","UE",0,"Southern Rocky Mountain Pinyon-Juniper Woodland",1
"121","10610_22_27_28_A","10610_22_27_28","A",23,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",34
"122","10610_22_27_28_B","10610_22_27_28","B",43,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",2
"123","10610_22_27_28_C","10610_22_27_28","C",7,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",62
"124","10610_22_27_28_D","10610_22_27_28","D",27,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",0
"125","10610_22_27_28_E","10610_22_27_28","E",NA,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",0
"126","10610_22_27_28_Agriculture","10610_22_27_28","Agriculture",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",0
"127","10610_22_27_28_Developed","10610_22_27_28","Developed",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",0
"128","10610_22_27_28_Water","10610_22_27_28","Water",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",0
"129","10610_22_27_28_UN","10610_22_27_28","UN",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",0
"130","10610_22_27_28_UE","10610_22_27_28","UE",0,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",0
"131","10640_15_16_17_23_24_27_28_A","10640_15_16_17_23_24_27_28","A",9,"Colorado Plateau Mixed Low Sagebrush Shrubland",52
"132","10640_15_16_17_23_24_27_28_B","10640_15_16_17_23_24_27_28","B",70,"Colorado Plateau Mixed Low Sagebrush Shrubland",0
"133","10640_15_16_17_23_24_27_28_C","10640_15_16_17_23_24_27_28","C",21,"Colorado Plateau Mixed Low Sagebrush Shrubland",37
"134","10640_15_16_17_23_24_27_28_D","10640_15_16_17_23_24_27_28","D",NA,"Colorado Plateau Mixed Low Sagebrush Shrubland",0
"135","10640_15_16_17_23_24_27_28_E","10640_15_16_17_23_24_27_28","E",NA,"Colorado Plateau Mixed Low Sagebrush Shrubland",0
