"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"60",153,707,36181057,"Tree Cover = 53%",71,164,64,0.278431373,0.643137255,0.250980392,157,0
"61",154,40,36210089,"Tree Cover = 54%",69,159,62,0.270588235,0.623529412,0.243137255,9,0
"62",155,18,76625086,"Tree Cover = 55%",67,154,60,0.262745098,0.603921569,0.235294118,4,0
"63",156,12,37637619,"Tree Cover = 56%",64,149,58,0.250980392,0.584313725,0.22745098,3,0
"64",157,11,37393772,"Tree Cover = 57%",62,144,56,0.243137255,0.564705882,0.219607843,2,0
"65",158,18,41979971,"Tree Cover = 58%",60,139,55,0.235294118,0.545098039,0.215686275,4,0
"66",159,8,41088624,"Tree Cover = 59%",58,134,53,0.22745098,0.525490196,0.207843137,2,0
"67",160,2,42475974,"Tree Cover = 60%",56,129,51,0.219607843,0.505882353,0.2,0,0
"68",161,1,40083071,"Tree Cover = 61%",51,126,51,0.2,0.494117647,0.2,0,0
"69",164,3,58918146,"Tree Cover = 64%",31,121,54,0.121568627,0.474509804,0.211764706,1,0
"70",166,8,46599056,"Tree Cover = 66%",18,117,57,0.070588235,0.458823529,0.223529412,2,0
"71",210,81,22881636,"Shrub Cover = 10%",239,228,204,0.937254902,0.894117647,0.8,18,0
"72",211,57,19812687,"Shrub Cover = 11%",238,227,202,0.933333333,0.890196078,0.792156863,13,0
"73",212,75,26356283,"Shrub Cover = 12%",237,226,199,0.929411765,0.88627451,0.780392157,17,0
"74",214,111,43350227,"Shrub Cover = 14%",236,223,195,0.925490196,0.874509804,0.764705882,25,0
"75",215,184,13238742,"Shrub Cover = 15%",235,222,192,0.921568627,0.870588235,0.752941176,41,0
"76",216,308,39944836,"Shrub Cover = 16%",234,221,190,0.917647059,0.866666667,0.745098039,68,0
"77",217,22,27673741,"Shrub Cover = 17%",233,220,188,0.91372549,0.862745098,0.737254902,5,0
"78",218,649,30909703,"Shrub Cover = 18%",232,219,185,0.909803922,0.858823529,0.725490196,144,0
"79",219,1443,45166074,"Shrub Cover = 19%",232,217,183,0.909803922,0.850980392,0.717647059,321,0
"80",220,3320,66027637,"Shrub Cover = 20%",231,216,181,0.905882353,0.847058824,0.709803922,738,0
"81",221,7024,34841727,"Shrub Cover = 21%",230,215,178,0.901960784,0.843137255,0.698039216,1562,0
"82",222,15180,98190021,"Shrub Cover = 22%",229,214,176,0.898039216,0.839215686,0.690196078,3376,0.1
"83",223,668,84378400,"Shrub Cover = 23%",228,213,174,0.894117647,0.835294118,0.682352941,149,0
"84",224,31605,44062559,"Shrub Cover = 24%",227,212,172,0.890196078,0.831372549,0.674509804,7029,0.1
"85",225,60582,94208465,"Shrub Cover = 25%",227,210,169,0.890196078,0.823529412,0.662745098,13473,0.3
"86",226,104967,109086572,"Shrub Cover = 26%",226,209,167,0.88627451,0.819607843,0.654901961,23344,0.5
"87",227,5356,62293577,"Shrub Cover = 27%",225,208,165,0.882352941,0.815686275,0.647058824,1191,0
"88",228,161547,144047060,"Shrub Cover = 28%",224,207,163,0.878431373,0.811764706,0.639215686,35927,0.7
"89",229,213430,114590931,"Shrub Cover = 29%",223,206,161,0.874509804,0.807843137,0.631372549,47466,0.9
"90",230,232134,63231995,"Shrub Cover = 30%",223,205,158,0.874509804,0.803921569,0.619607843,51625,1
"91",231,200894,96799671,"Shrub Cover = 31%",222,204,156,0.870588235,0.8,0.611764706,44678,0.9
"92",232,169723,77548748,"Shrub Cover = 32%",221,203,154,0.866666667,0.796078431,0.603921569,37745,0.7
"93",233,17055,42556307,"Shrub Cover = 33%",220,202,152,0.862745098,0.792156863,0.596078431,3793,0.1
"94",234,153177,63752727,"Shrub Cover = 34%",219,201,149,0.858823529,0.788235294,0.584313725,34066,0.7
"95",235,151754,54191785,"Shrub Cover = 35%",218,200,147,0.854901961,0.784313725,0.576470588,33749,0.7
"96",236,145511,55379015,"Shrub Cover = 36%",215,196,144,0.843137255,0.768627451,0.564705882,32361,0.6
"97",237,978,13904469,"Shrub Cover = 37%",208,190,140,0.815686275,0.745098039,0.549019608,218,0
"98",238,126223,25132650,"Shrub Cover = 38%",202,184,135,0.792156863,0.721568627,0.529411765,28071,0.6
"99",239,100957,20502197,"Shrub Cover = 39%",196,178,131,0.768627451,0.698039216,0.51372549,22452,0.4
"100",240,74451,19922659,"Shrub Cover = 40%",189,173,127,0.741176471,0.678431373,0.498039216,16558,0.3
"101",241,53958,10269941,"Shrub Cover = 41%",183,167,123,0.717647059,0.654901961,0.482352941,12000,0.2
"102",242,38445,25426252,"Shrub Cover = 42%",177,161,118,0.694117647,0.631372549,0.462745098,8550,0.2
"103",243,54,5273551,"Shrub Cover = 43%",170,155,114,0.666666667,0.607843137,0.447058824,12,0
"104",244,34375,16732792,"Shrub Cover = 44%",164,149,110,0.643137255,0.584313725,0.431372549,7645,0.2
"105",245,14581,7695545,"Shrub Cover = 45%",160,143,107,0.62745098,0.560784314,0.419607843,3243,0.1
"106",246,9341,14507437,"Shrub Cover = 46%",156,137,103,0.611764706,0.537254902,0.403921569,2077,0
"107",247,16,4573545,"Shrub Cover = 47%",152,131,100,0.596078431,0.51372549,0.392156863,4,0
"108",248,1943,2461786,"Shrub Cover = 48%",148,125,96,0.580392157,0.490196078,0.376470588,432,0
"109",249,1337,5474490,"Shrub Cover = 49%",143,120,93,0.560784314,0.470588235,0.364705882,297,0
"110",250,864,3063665,"Shrub Cover = 50%",139,114,90,0.545098039,0.447058824,0.352941176,192,0
"111",251,1287,4272681,"Shrub Cover = 51%",135,108,86,0.529411765,0.423529412,0.337254902,286,0
"112",252,154,3051020,"Shrub Cover = 52%",131,102,83,0.51372549,0.4,0.325490196,34,0
"113",253,2,1022387,"Shrub Cover = 53%",127,97,78,0.498039216,0.380392157,0.305882353,0,0
"114",254,145,3398299,"Shrub Cover = 54%",123,92,73,0.482352941,0.360784314,0.28627451,32,0
"115",255,113,4164670,"Shrub Cover = 55%",120,88,68,0.470588235,0.345098039,0.266666667,25,0
"116",256,99,2123894,"Shrub Cover = 56%",116,83,63,0.454901961,0.325490196,0.247058824,22,0
"117",257,5,643048,"Shrub Cover = 57%",112,78,58,0.439215686,0.305882353,0.22745098,1,0
"118",258,62,1932115,"Shrub Cover = 58%",108,74,53,0.423529412,0.290196078,0.207843137,14,0
"119",259,150,1055039,"Shrub Cover = 59%",105,69,47,0.411764706,0.270588235,0.184313725,33,0
"120",261,2,753077,"Shrub Cover = 61%",97,61,37,0.380392157,0.239215686,0.145098039,0,0
"121",262,1,502390,"Shrub Cover = 62%",94,58,36,0.368627451,0.22745098,0.141176471,0,0
"122",263,2,194301,"Shrub Cover = 63%",91,56,35,0.356862745,0.219607843,0.137254902,0,0
"123",268,1,180782,"Shrub Cover = 68%",77,48,30,0.301960784,0.188235294,0.117647059,0,0
"124",310,779,4929207,"Herb Cover = 10%",204,230,225,0.8,0.901960784,0.882352941,173,0
"125",311,88,1097137,"Herb Cover = 11%",201,228,223,0.788235294,0.894117647,0.874509804,20,0
"126",312,95,1425769,"Herb Cover = 12%",197,227,221,0.77254902,0.890196078,0.866666667,21,0
"127",313,185,1605474,"Herb Cover = 13%",194,225,219,0.760784314,0.882352941,0.858823529,41,0
"128",314,266,2092395,"Herb Cover = 14%",190,223,218,0.745098039,0.874509804,0.854901961,59,0
"129",315,33,1615771,"Herb Cover = 15%",187,222,215,0.733333333,0.870588235,0.843137255,7,0
"130",316,377,2501834,"Herb Cover = 16%",183,220,213,0.717647059,0.862745098,0.835294118,84,0
"131",317,591,2603161,"Herb Cover = 17%",180,218,211,0.705882353,0.854901961,0.82745098,131,0
"132",318,745,3108854,"Herb Cover = 18%",176,217,209,0.690196078,0.850980392,0.819607843,166,0
"133",319,1133,3292426,"Herb Cover = 19%",173,215,207,0.678431373,0.843137255,0.811764706,252,0
"134",320,1903,4374475,"Herb Cover = 20%",170,213,205,0.666666667,0.835294118,0.803921569,423,0
"135",321,943,2491584,"Herb Cover = 21%",166,211,203,0.650980392,0.82745098,0.796078431,210,0
"136",322,3464,5390728,"Herb Cover = 22%",163,210,204,0.639215686,0.823529412,0.8,770,0
"137",323,4462,5885321,"Herb Cover = 23%",159,208,199,0.623529412,0.815686275,0.780392157,992,0
"138",324,5731,6222515,"Herb Cover = 24%",156,206,197,0.611764706,0.807843137,0.77254902,1275,0
"139",325,7585,19672273,"Herb Cover = 25%",152,205,195,0.596078431,0.803921569,0.764705882,1687,0
"140",326,10290,9794595,"Herb Cover = 26%",149,203,193,0.584313725,0.796078431,0.756862745,2288,0
"141",327,731,4107617,"Herb Cover = 27%",146,201,191,0.57254902,0.788235294,0.749019608,163,0
"142",328,13570,11995319,"Herb Cover = 28%",142,200,189,0.556862745,0.784313725,0.741176471,3018,0.1
"143",329,19070,16696258,"Herb Cover = 29%",139,198,187,0.545098039,0.776470588,0.733333333,4241,0.1
"144",330,27081,21420511,"Herb Cover = 30%",135,196,185,0.529411765,0.768627451,0.725490196,6023,0.1
"145",331,39073,26519145,"Herb Cover = 31%",132,195,183,0.517647059,0.764705882,0.717647059,8690,0.2
"146",332,57157,28320132,"Herb Cover = 32%",128,193,181,0.501960784,0.756862745,0.709803922,12711,0.3
"147",333,1130,4464835,"Herb Cover = 33%",125,191,178,0.490196078,0.749019608,0.698039216,251,0
"148",334,82478,25757946,"Herb Cover = 34%",121,190,176,0.474509804,0.745098039,0.690196078,18343,0.4
"149",335,118361,50643114,"Herb Cover = 35%",118,188,174,0.462745098,0.737254902,0.682352941,26323,0.5
"150",336,167433,30326719,"Herb Cover = 36%",115,186,172,0.450980392,0.729411765,0.674509804,37236,0.7
